event_date,event_type,event_name,reference_period,release_time_et,headline_actual,headline_consensus,core_actual,core_consensus,actual_source,consensus_source,source,notes,data_notes
2024-01-11,CPI,U.S. CPI release,23-Dec,8:30,0.3,0.2,0.3,0.3,BLS,investing.com,BLS,,
2024-02-13,CPI,U.S. CPI release,24-Jan,8:30,0.3,0.2,0.4,0.3,BLS,investing.com,BLS,,
2024-03-12,CPI,U.S. CPI release,24-Feb,8:30,0.4,0.4,0.4,0.3,BLS,investing.com,BLS,,
2024-04-10,CPI,U.S. CPI release,24-Mar,8:30,0.4,0.3,0.4,0.3,BLS,investing.com,BLS,,
2024-05-15,CPI,U.S. CPI release,24-Apr,8:30,0.3,0.4,0.3,0.3,BLS,investing.com,BLS,,
2024-06-12,CPI,U.S. CPI release,24-May,8:30,0,0.1,0.2,0.3,BLS,investing.com,BLS,,
2024-07-11,CPI,U.S. CPI release,24-Jun,8:30,-0.1,0.1,0.1,0.2,BLS,investing.com,BLS,,
2024-08-14,CPI,U.S. CPI release,24-Jul,8:30,0.2,0.2,0.2,0.2,BLS,investing.com,BLS,,
2024-09-11,CPI,U.S. CPI release,24-Aug,8:30,0.2,0.2,0.3,0.2,BLS,investing.com,BLS,,
2024-10-10,CPI,U.S. CPI release,24-Sep,8:30,0.2,0.1,0.3,0.2,BLS,investing.com,BLS,,
2024-11-13,CPI,U.S. CPI release,24-Oct,8:30,0.2,0.2,0.3,0.3,BLS,investing.com,BLS,,
2024-12-11,CPI,U.S. CPI release,24-Nov,8:30,0.3,0.3,0.3,0.3,BLS,investing.com,BLS,,
2025-01-15,CPI,U.S. CPI release,24-Dec,8:30,0.4,0.4,0.2,0.3,BLS,investing.com,BLS,,
2025-02-12,CPI,U.S. CPI release,25-Jan,8:30,0.5,0.3,0.4,0.3,BLS,investing.com,BLS,,
2025-03-12,CPI,U.S. CPI release,25-Feb,8:30,0.2,0.3,0.2,0.3,BLS,investing.com,BLS,,
2025-04-10,CPI,U.S. CPI release,25-Mar,8:30,-0.1,0.1,0.1,0.3,BLS,investing.com,BLS,,
2025-05-13,CPI,U.S. CPI release,25-Apr,8:30,0.2,0.3,0.2,0.3,BLS,Reuters/Chase,BLS,,
2025-06-11,CPI,U.S. CPI release,25-May,8:30,0.1,0.2,0.1,0.3,BLS,Reuters/Chase,BLS,,
2025-07-15,CPI,U.S. CPI release,25-Jun,8:30,0.3,0.3,0.2,0.3,BLS,Reuters/Investing.com,BLS,,
2025-08-12,CPI,U.S. CPI release,25-Jul,8:30,0.2,0.2,0.3,0.3,BLS,investing.com,BLS,,
2025-09-11,CPI,U.S. CPI release,25-Aug,8:30,0.4,0.3,0.3,0.3,BLS,investing.com,BLS,,
2025-10-24,CPI,U.S. CPI release,25-Sep,8:30,0.3,0.4,0.2,0.3,BLS,investing.com,BLS,Delayed release,
2026-01-13,CPI,U.S. CPI release,25-Dec,8:30,0.3,0.3,0.2,0.3,BLS,investing.com,BLS,,
2026-02-13,CPI,U.S. CPI release,26-Jan,8:30,0.2,0.3,0.3,0.3,BLS,investing.com,BLS,,
2026-03-11,CPI,U.S. CPI release,26-Feb,8:30,0.3,0.3,0.2,0.2,BLS,investing.com,BLS,,
2026-04-10,CPI,U.S. CPI release,26-Mar,8:30,0.9,1,0.2,0.3,BLS,investing.com,BLS,,
2026-05-12,CPI,U.S. CPI release,26-Apr,8:30,0.6,0.6,0.4,0.3,BLS,investing.com,BLS,,
2026-06-10,CPI,U.S. CPI release,26-May,8:30,0.5,0.5,0.2,0.3,BLS,investing.com,BLS,,
